x,y,speed,lookahead
-0.3201093167640575,2.0071812990114486,6.023258823709158,1.6259315522200952
-0.3838495029895352,2.0067484317618236,5.967914039471899,1.6107902892413328
-0.44761790292584397,2.0067175089251617,5.927784465922941,1.5998925303028984
-0.5114256417598482,2.0071955665536434,5.888055292655253,1.5891064425234198
-0.5752378742810137,2.0076999535603797,5.8483261193875675,1.5783203547439415
-0.6390197302347941,2.007747706937503,5.808596946119881,1.5675342669644632
-0.7027363393666427,2.0068558636771474,5.768867772852193,1.5567481791849844
-0.7663528314220089,2.0045414607714465,5.729138599584507,1.5459620914055061
-0.8298713033207548,2.0005207417867137,5.689221745700077,1.535125072079581
-0.8934127531724705,1.9954145050677385,5.649159865884524,1.5242486965586743
-0.9569229792481977,1.9892621776091617,5.609097986068973,1.5133723210377679
-1.0203243523645833,1.981997432615058,5.569036106253421,1.502495945516861
-1.0835392433382671,1.973553943289504,5.52897422643787,1.4916195699959545
-1.1464900229858943,1.963865382836577,5.488912346622318,1.480743194475048
-1.2091194486654953,1.9528947303629836,5.4489036474403765,1.469881265786777
-1.2722874816130394,1.9419028742824431,5.40918744174329,1.4590987946780039
-1.3359458181080548,1.9307839539037264,5.369471236046204,1.4483163235692305
-1.3993498742551638,1.9184201284620104,5.329755030349117,1.437533852460457
-1.4617550661589824,1.9036935571924696,5.29003882465203,1.4267513813516837
-1.5224168099241344,1.8854863993302813,5.250322618954944,1.4159689102429103
-1.5805905216552363,1.8626808141106213,5.210606413257858,1.4051864391341369
-1.6362571214024524,1.8346260824134646,5.166785222137915,1.3934002954181612
-1.690634103426444,1.8021995291218897,5.121548518803195,1.3812680576997016
-1.7433551922962855,1.7659554845047782,5.0763118154684745,1.3691358199812425
-1.7939710813223233,1.7264106460195328,5.031075112133755,1.357003582262783
-1.8420324638149046,1.6840817111235564,4.985838408799034,1.3448713445443234
-1.8870900330843714,1.6394853772742553,4.9406017054643145,1.3327391068258643
-1.9288626656089398,1.5930092067788866,4.895198883023967,1.3205920181358275
-1.9689254850680462,1.543508155173458,4.849463822372368,1.3084152275026368
-2.0069958211522807,1.4910355512850322,4.803728761720769,1.2962384368694464
-2.0420777831774606,1.4361655182988666,4.757993701069168,1.2840616462362555
-2.0731754804594034,1.3794721794002234,4.712258640417569,1.2718848556030649
-2.0992930223139274,1.3215296577743607,4.666523579765971,1.2597080649698744
-2.11943451805685,1.2629120766065338,4.62078851911437,1.2475312743366835
-2.1333787070321812,1.2028226877514439,4.604098100140219,1.2433760192058936
-2.141989397888081,1.14025579940879,4.5898280679725225,1.2398892253669702
-2.145607533969182,1.0761934249506324,4.575558035804825,1.2364024315280469
-2.1445699936127927,1.011627509742262,4.561288003637127,1.2329156376891235
-2.1392136551562206,0.947549999148965,4.5470179714694305,1.2294288438502001
-2.1298753969367743,0.8849528385360291,4.532747939301733,1.2259420500112768
-2.1167236936846847,0.8242786713279082,4.524320106097893,1.2240417706983862
-2.0991042618307674,0.7633750879227061,4.521442361909717,1.2236486801852264
-2.0771243408878863,0.7027081723114075,4.51856461772154,1.223255589672067
-2.051039956301481,0.6432385130974894,4.515686873533364,1.2228624991589074
-2.0211071335169923,0.5859266988844284,4.512809129345188,1.222469408645748
-1.9875818979798612,0.5317333182757052,4.509931385157012,1.2220763181325884
-1.9507045397618599,0.4816138098719329,4.51091172724659,1.2226607209872935
-1.9091427247751767,0.43564784274243945,4.545650324266521,1.2317981908108147
-1.8627290938292131,0.3931145490220984,4.580388921286452,1.2409356606343356
-1.8126221714091275,0.35348779203272007,4.615127518306384,1.2500731304578567
-1.759980482000082,0.3162414350961184,4.649866115326314,1.2592106002813777
-1.7059625500872357,0.28084934153410446,4.684604712346244,1.2683480701048988
-1.651726900155748,0.2467853746684898,4.7193433093661765,1.27748553992842
-1.5976273773971559,0.2139374558012078,4.76082396113987,1.288425758595533
-1.5420293596477181,0.18314178549739674,4.805301081693015,1.3001671989709092
-1.485109737607531,0.15422287205926863,4.84977820224616,1.3119086393462855
-1.4271911616376753,0.12692774487101782,4.894255322799305,1.323650079721662
-1.3685962820992255,0.10100343331683616,4.938732443352451,1.3353915200970383
-1.309647749353262,0.07619696678091784,4.983209563905595,1.3471329604724145
-1.2506296241156905,0.052294746558504045,5.039661782914735,1.3620726690712341
